category,app_count,developer_count,review_count,reviews_per_app,avg_rating,one_star_rate_pct,reply_rate_pct,monthly_plan_count,median_monthly_price,free_entry_share_pct,top_app_review_share_pct,demand_score,competition_score,customer_gap_score,service_gap_final_score,monetization_final_score,pricing_pressure_final_score,concentration_final_score,opportunity_score
Baby products,120,115,67122,559.35,3.6,3.25,61.74,115,37.95,42.29,14.66,35.961613951805816,94.11921175093659,30.196241365128124,26.179961357990607,22.887299493090758,43.24324324324324,81.45071097619429,46.13928288189895
Services,76,72,23699,311.83,4.45,1.56,43.36,155,45.0,25.24,16.47,17.66161791464567,97.37762707688172,7.818738336452942,51.54568037537952,27.78279286160683,73.36159689100866,78.55887521968366,42.37268813364195
Email automation,53,46,7614,143.66,4.27,1.51,29.85,114,19.0,24.5,19.46,7.2916411910038414,99.22045885996204,11.05683277516179,70.19044990339498,9.728491077008542,74.66878643349231,73.78175427384566,39.77921431203341
Sourcing options - Other,61,59,3522,57.74,2.12,3.72,64.62,37,30.0,48.68,61.1,2.6280193568896264,98.42271788008264,60.06233615077066,22.20535467844327,17.366849524338587,31.955484896661375,7.253554880971407,39.14003053076982
Review highlights,66,63,60228,912.55,3.93,1.23,34.29,107,19.0,28.57,16.42,51.48575910829077,98.0875608294647,16.490541860068205,64.06293127242617,9.728491077008542,67.47924394983218,78.63876018533313,50.958527310531444
Product variants,268,246,36714,136.99,3.26,2.88,24.42,421,15.0,23.23,10.72,11.453601268904142,83.69935544567208,35.29882462221998,77.68423958045818,6.950906187070342,76.91220632397103,87.7456462693721,43.70698884657798
PDF generation,86,75,9451,109.9,4.03,1.53,36.74,168,17.24,22.62,15.68,5.9889595366228585,96.90541123238116,15.693153935039463,60.68175545128346,8.506353725435734,77.9897544603427,79.8210576769452,39.25162212844795
Email templates,72,62,15483,215.04,4.34,2.32,34.67,162,14.99,19.7,14.38,11.853390541805126,97.91516634653615,12.706166746405462,63.53850400220811,6.943962224845497,83.14785373608903,81.89806678383128,40.73535501398325
Page builder,198,184,36392,183.8,3.36,1.83,39.04,261,15.0,27.54,27.35,13.60202397596106,88.62927206240585,29.534549279972694,57.50759039470052,6.950906187070342,69.29871047518107,61.17590669436012,40.35039608847364
Win-back emails,95,91,61262,644.86,3.67,2.32,11.41,154,46.0,30.09,16.26,39.075514984498234,95.95347560941464,25.44380933195679,95.63897322660779,28.477189084091382,64.79420597067656,78.8943920754114,55.06824132197774
Follow-up emails,98,95,61928,631.92,3.63,1.88,11.14,168,39.0,28.33,16.08,38.57034426146032,95.68898993688856,24.585428225294265,96.01159260281534,23.616415526699537,67.90319731496203,79.18197795174949,54.19535005042368
Local SEO,76,72,40948,538.79,4.21,1.73,29.91,138,24.49,26.7,22.06,30.9710572834635,97.37762707688172,13.006935876021569,70.10764559757106,13.540726338448719,70.78254725313549,69.6277360600735,45.88206458763139
Search bar,57,57,9823,172.33,3.68,2.84,33.88,119,36.0,20.0,19.89,8.977538858725369,98.64329993896054,27.166866713111013,64.62876069555617,21.533226859245886,82.61791202967673,73.09474356926026,44.88491092348501
